Date,Open,High,Low,Close,Adj Close,Volume,Dollar
26-11-2015,209.625046,214.856308,209.625046,213.562546,205.685867,5136556,62.97
27-11-2015,213.562546,213.900055,211.837555,213.731308,205.84845,3568959,62.97
30-11-2015,213.375046,215.906296,212.700058,213.731308,205.84845,11117298,62.97
01-12-2015,217.200058,220.293808,217.200058,218.231308,210.182419,4600193,62.97
02-12-2015,219.300049,219.525055,216.018799,216.656311,208.665512,1893802,62.97
03-12-2015,219.375061,219.375061,213.487549,214.706299,206.78743,3487209,62.97
04-12-2015,214.631302,214.631302,210.825058,213.487549,205.613632,2756665,62.97
07-12-2015,214.443802,216.525055,212.962555,216.018799,208.051529,3106705,62.97
08-12-2015,215.325058,217.087555,211.631302,212.512558,204.674591,1868402,62.97
09-12-2015,211.500046,215.193802,210.956299,211.987549,204.168976,2111772,62.97
10-12-2015,212.643799,213.750046,209.868805,211.912552,204.096725,3007193,62.97
11-12-2015,212.625046,212.906296,210.225052,212.212555,204.385666,1845655,62.97
14-12-2015,211.200058,213.750046,210.000046,212.643799,204.800995,1986511,62.97
15-12-2015,213.150055,213.750046,208.650055,209.587555,201.857513,3196980,62.97
16-12-2015,207.093796,209.568802,207.093796,208.106308,200.430862,5485033,62.97
17-12-2015,209.062546,209.400055,207.412552,208.537552,200.846207,5081836,62.97
18-12-2015,207.750046,209.006302,206.418808,207.825058,200.159988,7480830,62.97
21-12-2015,207.675049,209.718796,205.687546,208.443802,200.755905,3103841,62.97
22-12-2015,208.050049,209.062546,207.375046,208.293808,200.61145,3326937,62.97
23-12-2015,210.000046,210.000046,207.750046,208.612549,200.918442,2110964,62.97
24-12-2015,208.687546,209.925049,207.937546,208.950058,201.243484,1077421,62.97
28-12-2015,208.331299,211.500046,208.331299,210.543808,202.778488,2610351,62.97
29-12-2015,210.712555,213.075058,209.606308,211.518799,203.717499,2134284,62.97
30-12-2015,212.212555,213.000046,208.500046,209.287552,201.568558,1339124,62.97
31-12-2015,209.250046,211.275055,208.875046,209.962555,202.218643,3527388,62.97
01-01-2016,209.925049,209.925049,207.787552,208.668808,200.972626,1582762,66.46
04-01-2016,208.875046,210.000046,208.500046,209.137558,201.424088,1715818,66.46
05-01-2016,210.750046,211.875046,207.843796,208.837555,201.135147,2343764,66.46
06-01-2016,208.875046,209.925049,207.375046,208.162552,200.485031,3061769,66.46
07-01-2016,207.375046,209.043808,205.162552,206.193802,198.588898,5584145,66.46
08-01-2016,207.037552,209.193802,206.081299,208.425049,200.737839,2324151,66.46
11-01-2016,207.000046,207.731308,200.400055,201.543793,194.110397,4977092,66.46
12-01-2016,201.187546,206.625046,199.200043,205.837555,198.245804,3491084,66.46
